ScrapingDate,ProductID,DiscountPercentage,SellingPrice,IsPromotional,UnitsSold
2026-03-17,P1000,0.0652,21475.54,0,0
2026-03-18,P1000,0.1002,20672.0,0,0
2026-03-19,P1000,0.0707,21347.64,0,0
2026-03-20,P1000,0.0854,21010.85,0,0
2026-03-21,P1000,0.0661,21454.46,0,0
2026-03-22,P1000,0.0905,20894.23,0,1
2026-03-23,P1000,0.0515,21788.97,0,1
2026-03-24,P1000,0.0765,21214.84,0,0
2026-03-25,P1000,0.0841,21040.35,0,0
2026-03-26,P1000,0.0772,21198.24,0,0
2026-03-27,P1000,0.072,21319.46,0,0
2026-03-28,P1000,0.0817,21094.78,0,0
2026-03-29,P1000,0.0729,21298.46,0,0
2026-03-30,P1000,0.0679,21412.55,0,0
2026-03-31,P1000,0.0679,21412.1,0,0
2026-04-01,P1000,0.0933,20829.07,0,0
2026-04-02,P1000,0.0784,21172.32,0,1
2026-04-03,P1000,0.0617,21555.97,0,0
2026-04-04,P1000,0.1004,20665.59,0,0
2026-04-05,P1000,0.0929,20837.69,0,0
2026-04-06,P1000,0.0704,21354.87,0,0
2026-04-07,P1000,0.0915,20871.16,0,0
2026-04-08,P1000,0.0812,21108.15,0,0
2026-04-09,P1000,0.0772,21198.88,0,0
2026-04-10,P1000,0.2961,16171.5,1,1
2026-04-11,P1000,0.3122,15799.82,1,0
2026-04-12,P1000,0.2288,17716.21,1,0
2026-04-13,P1000,0.354,14840.99,1,0
2026-04-14,P1000,0.0681,21407.65,0,0
2026-04-15,P1000,0.0502,21820.4,0,0
2026-04-16,P1000,0.0786,21167.35,0,1
2026-04-17,P1000,0.0751,21246.58,0,0
2026-04-18,P1000,0.0763,21220.04,0,0
2026-04-19,P1000,0.0736,21281.32,0,0
2026-04-20,P1000,0.0853,21012.33,0,1
2026-04-21,P1000,0.0633,21517.73,0,0
2026-04-22,P1000,0.0734,21286.68,0,0
2026-04-23,P1000,0.0898,20908.78,0,1
2026-04-24,P1000,0.075,21250.94,0,0
2026-04-25,P1000,0.08,21135.69,0,0
2026-04-26,P1000,0.0607,21578.66,0,0
2026-04-27,P1000,0.0547,21715.57,0,1
2026-04-28,P1000,0.0666,21443.93,0,0
2026-04-29,P1000,0.1137,20360.3,0,0
2026-04-30,P1000,0.0707,21348.83,0,0
2026-05-01,P1000,0.0874,20963.94,0,0
2026-05-02,P1000,0.077,21204.79,0,1
2026-05-03,P1000,0.0645,21490.02,0,0
2026-05-04,P1000,0.0806,21121.67,0,0
2026-05-05,P1000,0.0839,21044.29,0,0
2026-05-06,P1000,0.0946,20798.86,0,0
2026-05-07,P1000,0.0814,21103.05,0,0
2026-05-08,P1000,0.0783,21174.7,0,0
2026-05-09,P1000,0.0631,21523.7,0,0
2026-05-10,P1000,0.0481,21867.31,0,0
2026-05-11,P1000,0.0539,21735.52,0,1
2026-05-12,P1000,0.0917,20865.39,0,0
2026-05-13,P1000,0.057,21663.41,0,0
2026-05-14,P1000,0.1017,20637.03,0,0
